dataset,variable,label,description
Network Survey Wave 5 (Winter 2013),FirstName_5,First Name,NA
Network Survey Wave 5 (Winter 2013),LastName_5,Last Name,NA
Network Survey Wave 5 (Winter 2013),numberalter_5,Number.alter,NA
Network Survey Wave 5 (Winter 2013),survey_5,Survey,NA
Network Survey Wave 5 (Winter 2013),socialcontextWork_5,Interact at work,NA
Network Survey Wave 5 (Winter 2013),socialcontextTextcalling_5,Interact through text or calling,NA
Network Survey Wave 5 (Winter 2013),socialcontextInternet_5,Interact through the internet,NA
Network Survey Wave 5 (Winter 2013),socialcontextCulturalathletic_5,Interact through cultural or athletic event,NA
Network Survey Wave 5 (Winter 2013),socialcontextOther_5,Interact Other,NA
Network Survey Wave 5 (Winter 2013),alterother_5,Relationship type other,NA
Network Survey Wave 5 (Winter 2013),whatdorm_5,Dorm of alter,NA
Network Survey Wave 5 (Winter 2013),gender_5,Gender,NA
Network Survey Wave 5 (Winter 2013),reltype_5,Relationship Type,NA
Network Survey Wave 5 (Winter 2013),subjectivesimilar_5,Ego's perception of similarity to alter,NA
Network Survey Wave 5 (Winter 2013),duplicate,NA,NA
Network Survey Wave 5 (Winter 2013),duplicate_name_5,NA,NA
Network Survey Wave 5 (Winter 2013),duplicate_number_5,NA,NA
Network Survey Wave 6 (Summer 2013),sender,Study Participant's Number,NA
Network Survey Wave 6 (Summer 2013),position_6,Position listed in survey,NA
Network Survey Wave 6 (Summer 2013),altername,Alter Name,NA
Network Survey Wave 6 (Summer 2013),receiver_string,Phone Number,NA
Network Survey Wave 6 (Summer 2013),receiver,Phone Number,NA
Network Survey Wave 6 (Summer 2013),email_6,Email,NA
Network Survey Wave 6 (Summer 2013),freqspring2013_6,Frequency of interaction during Spring 2012,NA
Network Survey Wave 6 (Summer 2013),closeness_6,Closeness,NA
Network Survey Wave 6 (Summer 2013),duration_6,"Duration of Relationship, in Years",NA
Network Survey Wave 6 (Summer 2013),emotionloving_6,Loving,NA
Network Survey Wave 6 (Summer 2013),emotionexciting_6,Exciting,NA
Network Survey Wave 6 (Summer 2013),emotionsignificant_6,Significant,NA
Network Survey Wave 6 (Summer 2013),notredamerelation_6,Relationship to Notre Dame,NA
Network Survey Wave 6 (Summer 2013),socialcontextOffcampus_6,Interact off campus,NA
Network Survey Wave 6 (Summer 2013),socialcontextInclass_6,Interact in class,NA
Network Survey Wave 6 (Summer 2013),socialcontextOutsideclass_6,Interact outside of class,NA
Network Survey Wave 6 (Summer 2013),socialcontextDormroom_6,Interact Your/Their dormroom,NA
Network Survey Wave 6 (Summer 2013),socialcontextDorm_6,Interact in the dorm,NA
Network Survey Wave 6 (Summer 2013),socialcontextReligious_6,Interact at religious event,NA
Network Survey Wave 6 (Summer 2013),socialcontextHome_6,Interact at home,NA
Network Survey Wave 6 (Summer 2013),socialcontextClubteam_6,Interact through club or team,NA
Network Survey Wave 6 (Summer 2013),activitiesact01_6,5.activities [act01],NA
Network Survey Wave 6 (Summer 2013),activitiesact02_6,5.activities [act02],NA
Network Survey Wave 6 (Summer 2013),activitiesact03_6,5.activities [act03],NA
Network Survey Wave 6 (Summer 2013),activitiesact04_6,5.activities [act04],NA
Network Survey Wave 6 (Summer 2013),activitiesact05_6,5.activities [act05],NA
Network Survey Wave 6 (Summer 2013),sameactivities1_6,Does Activity 1,NA
Network Survey Wave 6 (Summer 2013),sameactivities2_6,Does actiivty 2,NA
Network Survey Wave 6 (Summer 2013),sameactivities3_6,Does activity 3,NA
Network Survey Wave 6 (Summer 2013),sameactivities4_6,Does Activity 4,NA
Network Survey Wave 6 (Summer 2013),sameactivities5_6,Does Activity 5,NA
Network Survey Wave 6 (Summer 2013),altermusic_6,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 6 (Summer 2013),altermovies_6,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 6 (Summer 2013),alterbooks_6,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 6 (Summer 2013),altersports_6,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 6 (Summer 2013),altergames_6,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 6 (Summer 2013),alteroutdoor_6,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 6 (Summer 2013),classtogether_6,1 | 2 | 3,NA
Network Survey Wave 6 (Summer 2013),startlanguage_6,Start language,NA
Network Survey Wave 6 (Summer 2013),token_6,Token,NA
Network Survey Wave 6 (Summer 2013),id_6,Survey ID,NA
Network Survey Wave 6 (Summer 2013),completed_6,Completed,NA
Network Survey Wave 6 (Summer 2013),lastpageseen_6,Last page seen,NA
Network Survey Wave 6 (Summer 2013),FirstName_6,First Name,NA
Network Survey Wave 6 (Summer 2013),LastName_6,Last Name,NA
Network Survey Wave 6 (Summer 2013),numberalter_6,Number.alter,NA
Network Survey Wave 6 (Summer 2013),survey_6,Survey,NA
Network Survey Wave 6 (Summer 2013),socialcontextWork_6,Interact at work,NA
Network Survey Wave 6 (Summer 2013),socialcontextTextcalling_6,Interact through text or calling,NA
Network Survey Wave 6 (Summer 2013),socialcontextInternet_6,Interact through the internet,NA
Network Survey Wave 6 (Summer 2013),socialcontextCulturalathletic_6,Interact through cultural or athletic event,NA
Network Survey Wave 6 (Summer 2013),socialcontextOther_6,Interact Other,NA
Network Survey Wave 6 (Summer 2013),alterother_6,Relationship type other,NA
Network Survey Wave 6 (Summer 2013),whatdorm_6,Dorm of alter,NA
Network Survey Wave 6 (Summer 2013),gender_6,Gender,NA
Network Survey Wave 6 (Summer 2013),reltype_6,Relationship Type,NA
Network Survey Wave 6 (Summer 2013),subjectivesimilar_6,Ego's perception of similarity to alter,NA
Network Survey Wave 6 (Summer 2013),duplicate,NA,NA
Network Survey Wave 6 (Summer 2013),duplicate_name_6,NA,NA
Network Survey Wave 6 (Summer 2013),duplicate_number_6,NA,NA
Network Survey Wave 7 (Fall 2013),sender,Study Participant's Number,NA
Network Survey Wave 7 (Fall 2013),position_7,Position listed in survey,NA
Network Survey Wave 7 (Fall 2013),altername,Alter Name,NA
Network Survey Wave 7 (Fall 2013),receiver_string,Phone Number,NA
Network Survey Wave 7 (Fall 2013),receiver,Phone Number,NA
Network Survey Wave 7 (Fall 2013),email_7,Email,NA
Network Survey Wave 7 (Fall 2013),freqsummer2013_7,Frequency of interaction during Spring 2012,NA
Network Survey Wave 7 (Fall 2013),closeness_7,Closeness,NA
Network Survey Wave 7 (Fall 2013),duration_7,"Duration of Relationship, in Years",NA
Network Survey Wave 7 (Fall 2013),emotionloving_7,Loving,NA
Network Survey Wave 7 (Fall 2013),emotionexciting_7,Exciting,NA
Network Survey Wave 7 (Fall 2013),emotionsignificant_7,Significant,NA
Network Survey Wave 7 (Fall 2013),notredamerelation_7,Relationship to Notre Dame,NA
Network Survey Wave 7 (Fall 2013),socialcontextOffcampus_7,Interact off campus,NA
Network Survey Wave 7 (Fall 2013),socialcontextInclass_7,Interact in class,NA
Network Survey Wave 7 (Fall 2013),socialcontextOutsideclass_7,Interact outside of class,NA
Network Survey Wave 7 (Fall 2013),socialcontextDormroom_7,Interact Your/Their dormroom,NA
Network Survey Wave 7 (Fall 2013),socialcontextDorm_7,Interact in the dorm,NA
Network Survey Wave 7 (Fall 2013),socialcontextReligious_7,Interact at religious event,NA
Network Survey Wave 7 (Fall 2013),socialcontextHome_7,Interact at home,NA
Network Survey Wave 7 (Fall 2013),socialcontextClubteam_7,Interact through club or team,NA
Network Survey Wave 7 (Fall 2013),activitiesact01_7,5.activities [act01],NA
Network Survey Wave 7 (Fall 2013),activitiesact02_7,5.activities [act02],NA
Network Survey Wave 7 (Fall 2013),activitiesact03_7,5.activities [act03],NA
Network Survey Wave 7 (Fall 2013),activitiesact04_7,5.activities [act04],NA
Network Survey Wave 7 (Fall 2013),activitiesact05_7,5.activities [act05],NA
Network Survey Wave 7 (Fall 2013),sameactivities1_7,Does Activity 1,NA
Network Survey Wave 7 (Fall 2013),sameactivities2_7,Does actiivty 2,NA
Network Survey Wave 7 (Fall 2013),sameactivities3_7,Does activity 3,NA
Network Survey Wave 7 (Fall 2013),sameactivities4_7,Does Activity 4,NA
Network Survey Wave 7 (Fall 2013),sameactivities5_7,Does Activity 5,NA
Network Survey Wave 7 (Fall 2013),altermusic_7,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7 (Fall 2013),altermovies_7,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7 (Fall 2013),alterbooks_7,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7 (Fall 2013),altersports_7,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7 (Fall 2013),altergames_7,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7 (Fall 2013),alteroutdoor_7,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7 (Fall 2013),classtogether_7,1 | 2 | 3,NA
Network Survey Wave 7 (Fall 2013),alter10rel1_sq019_7,alter10.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter10rel2_sq019_7,alter10.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter10rel3_sq019_7,alter10.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter10rel4_sq019_7,alter10.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter10rel5_sq019_7,alter10.rel [5_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter11rel1_sq019_7,alter11.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter11rel2_sq019_7,alter11.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter11rel3_sq019_7,alter11.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter11rel4_sq019_7,alter11.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter12rel1_sq019_7,alter12.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter12rel2_sq019_7,alter12.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter12rel3_sq019_7,alter12.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter13rel1_sq019_7,alter13.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter13rel2_sq019_7,alter13.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter14rel1_sq019_7,alter14.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter1rel1_sq001_7,alter1.rel [1_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel2_sq001_7,alter1.rel [2_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel3_sq001_7,alter1.rel [3_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel4_sq001_7,alter1.rel [4_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel5_sq001_7,alter1.rel [5_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel6_sq001_7,alter1.rel [6_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel7_sq001_7,alter1.rel [7_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel8_sq001_7,alter1.rel [8_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel9_sq001_7,alter1.rel [9_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel10_sq001_7,alter1.rel [10_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel11_sq001_7,alter1.rel [11_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel12_sq001_7,alter1.rel [12_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel13_sq001_7,alter1.rel [13_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter1rel14_sq001_7,alter1.rel [14_SQ001],NA
Network Survey Wave 7 (Fall 2013),alter2rel1_sq019_7,alter2.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel2_sq019_7,alter2.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel3_sq019_7,alter2.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel4_sq019_7,alter2.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel5_sq019_7,alter2.rel [5_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel6_sq019_7,alter2.rel [6_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel7_sq019_7,alter2.rel [7_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel8_sq019_7,alter2.rel [8_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel9_sq019_7,alter2.rel [9_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel10_sq019_7,alter2.rel [10_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel11_sq019_7,alter2.rel [11_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel12_sq019_7,alter2.rel [12_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter2rel13_sq019_7,alter2.rel [13_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel1_sq019_7,alter3.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel2_sq019_7,alter3.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel3_sq019_7,alter3.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel4_sq019_7,alter3.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel5_sq019_7,alter3.rel [5_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel6_sq019_7,alter3.rel [6_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel7_sq019_7,alter3.rel [7_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel8_sq019_7,alter3.rel [8_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel9_sq019_7,alter3.rel [9_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel10_sq019_7,alter3.rel [10_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel11_sq019_7,alter3.rel [11_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter3rel12_sq019_7,alter3.rel [12_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel1_sq019_7,alter4.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel2_sq019_7,alter4.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel3_sq019_7,alter4.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel4_sq019_7,alter4.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel5_sq019_7,alter4.rel [5_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel6_sq019_7,alter4.rel [6_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel7_sq019_7,alter4.rel [7_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel8_sq019_7,alter4.rel [8_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel9_sq019_7,alter4.rel [9_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel10_sq019_7,alter4.rel [10_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter4rel11_sq019_7,alter4.rel [11_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel1_sq019_7,alter5.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel2_sq019_7,alter5.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel3_sq019_7,alter5.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel4_sq019_7,alter5.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel5_sq019_7,alter5.rel [5_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel6_sq019_7,alter5.rel [6_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel7_sq019_7,alter5.rel [7_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel8_sq019_7,alter5.rel [8_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel9_sq019_7,alter5.rel [9_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter5rel10_sq019_7,alter5.rel [10_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter6rel1_sq019_7,alter6.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter6rel2_sq019_7,alter6.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter6rel3_sq019_7,alter6.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter6rel4_sq019_7,alter6.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter6rel5_sq019_7,alter6.rel [5_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter6rel6_sq019_7,alter6.rel [6_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter6rel7_sq019_7,alter6.rel [7_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter6rel8_sq019_7,alter6.rel [8_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter6rel9_sq019_7,alter6.rel [9_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter7rel1_sq019_7,alter7.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter7rel2_sq019_7,alter7.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter7rel3_sq019_7,alter7.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter7rel4_sq019_7,alter7.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter7rel5_sq019_7,alter7.rel [5_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter7rel6_sq019_7,alter7.rel [6_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter7rel7_sq019_7,alter7.rel [7_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter7rel8_sq019_7,alter7.rel [8_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter8rel1_sq019_7,alter8.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter8rel2_sq019_7,alter8.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter8rel3_sq019_7,alter8.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter8rel4_sq019_7,alter8.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter8rel5_sq019_7,alter8.rel [5_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter8rel6_sq019_7,alter8.rel [6_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter8rel7_sq019_7,alter8.rel [7_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter9rel1_sq019_7,alter9.rel [1_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter9rel2_sq019_7,alter9.rel [2_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter9rel3_sq019_7,alter9.rel [3_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter9rel4_sq019_7,alter9.rel [4_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter9rel5_sq019_7,alter9.rel [5_SQ019],NA
Network Survey Wave 7 (Fall 2013),alter9rel6_sq019_7,alter9.rel [6_SQ019],NA
Network Survey Wave 7 (Fall 2013),startlanguage_7,Start language,NA
Network Survey Wave 7 (Fall 2013),token_7,Token,NA
Network Survey Wave 7 (Fall 2013),id_7,Survey ID,NA
Network Survey Wave 7 (Fall 2013),completed_7,Completed,NA
Network Survey Wave 7 (Fall 2013),lastpageseen_7,Last page seen,NA
Network Survey Wave 7 (Fall 2013),FirstName_7,First Name,NA
Network Survey Wave 7 (Fall 2013),LastName_7,Last Name,NA
Network Survey Wave 7 (Fall 2013),numberalter_7,Number.alter,NA
Network Survey Wave 7 (Fall 2013),survey_7,Survey,NA
Network Survey Wave 7 (Fall 2013),socialcontextWork_7,Interact at work,NA
Network Survey Wave 7 (Fall 2013),socialcontextTextcalling_7,Interact through text or calling,NA
Network Survey Wave 7 (Fall 2013),socialcontextInternet_7,Interact through the internet,NA
Network Survey Wave 7 (Fall 2013),socialcontextCulturalathletic_7,Interact through cultural or athletic event,NA
Network Survey Wave 7 (Fall 2013),socialcontextOther_7,Interact Other,NA
Network Survey Wave 7 (Fall 2013),alterother_7,Relationship type other,NA
Network Survey Wave 7 (Fall 2013),whatdorm_7,Dorm of alter,NA
Network Survey Wave 7 (Fall 2013),gender_7,Gender,NA
Network Survey Wave 7 (Fall 2013),race_7,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9,NA
Network Survey Wave 7 (Fall 2013),reltype_7,Relationship Type,NA
Network Survey Wave 7 (Fall 2013),subjectivesimilar_7,Ego's perception of similarity to alter,NA
Network Survey Wave 7 (Fall 2013),duplicate,NA,NA
Network Survey Wave 7 (Fall 2013),duplicate_name_7,NA,NA
Network Survey Wave 7 (Fall 2013),duplicate_number_7,NA,NA
Network Survey Wave 7.2 (Fall 2013),firstname_75,First name,NA
Network Survey Wave 7.2 (Fall 2013),lastname_75,Last name,NA
Network Survey Wave 7.2 (Fall 2013),emailaddress_75,Email address,NA
Network Survey Wave 7.2 (Fall 2013),namenetidsq003_75,name.netid [SQ003],NA
Network Survey Wave 7.2 (Fall 2013),sender,Study Participant's Number,NA
Network Survey Wave 7.2 (Fall 2013),position_75,Position listed in survey,NA
Network Survey Wave 7.2 (Fall 2013),altername,Alter Name,NA
Network Survey Wave 7.2 (Fall 2013),receiver_string,Phone Number,NA
Network Survey Wave 7.2 (Fall 2013),receiver,Phone Number,NA
Network Survey Wave 7.2 (Fall 2013),email_75,Email,NA
Network Survey Wave 7.2 (Fall 2013),freqsummer2013_75,Frequency of interaction during Spring 2012,NA
Network Survey Wave 7.2 (Fall 2013),freqlastyearhs_75,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7.2 (Fall 2013),freqlastyear_75,1 | 2 | 3 | 4,NA
Network Survey Wave 7.2 (Fall 2013),closeness_75,Closeness,NA
Network Survey Wave 7.2 (Fall 2013),duration_75,"Duration of Relationship, in Years",NA
Network Survey Wave 7.2 (Fall 2013),emotionloving_75,Loving,NA
Network Survey Wave 7.2 (Fall 2013),emotionexciting_75,Exciting,NA
Network Survey Wave 7.2 (Fall 2013),emotionsignificant_75,Significant,NA
Network Survey Wave 7.2 (Fall 2013),notredamerelation_75,Relationship to Notre Dame,NA
Network Survey Wave 7.2 (Fall 2013),socialcontextOffcampus_75,Interact off campus,NA
Network Survey Wave 7.2 (Fall 2013),socialcontextInclass_75,Interact in class,NA
Network Survey Wave 7.2 (Fall 2013),socialcontextOutsideclass_75,Interact outside of class,NA
Network Survey Wave 7.2 (Fall 2013),socialcontextDormroom_75,Interact Your/Their dormroom,NA
Network Survey Wave 7.2 (Fall 2013),socialcontextDorm_75,Interact in the dorm,NA
Network Survey Wave 7.2 (Fall 2013),socialcontextReligious_75,Interact at religious event,NA
Network Survey Wave 7.2 (Fall 2013),socialcontextHome_75,Interact at home,NA
Network Survey Wave 7.2 (Fall 2013),socialcontextClubteam_75,Interact through club or team,NA
Network Survey Wave 7.2 (Fall 2013),activitiesact01_75,5.activities [act01],NA
Network Survey Wave 7.2 (Fall 2013),activitiesact02_75,5.activities [act02],NA
Network Survey Wave 7.2 (Fall 2013),activitiesact03_75,5.activities [act03],NA
Network Survey Wave 7.2 (Fall 2013),activitiesact04_75,5.activities [act04],NA
Network Survey Wave 7.2 (Fall 2013),activitiesact05_75,5.activities [act05],NA
Network Survey Wave 7.2 (Fall 2013),sameactivities1_75,Does Activity 1,NA
Network Survey Wave 7.2 (Fall 2013),sameactivities2_75,Does actiivty 2,NA
Network Survey Wave 7.2 (Fall 2013),sameactivities3_75,Does activity 3,NA
Network Survey Wave 7.2 (Fall 2013),sameactivities4_75,Does Activity 4,NA
Network Survey Wave 7.2 (Fall 2013),sameactivities5_75,Does Activity 5,NA
Network Survey Wave 7.2 (Fall 2013),altermusic_75,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7.2 (Fall 2013),altermovies_75,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7.2 (Fall 2013),alterbooks_75,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7.2 (Fall 2013),altersports_75,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7.2 (Fall 2013),altergames_75,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7.2 (Fall 2013),alteroutdoor_75,1 | 2 | 3 | 4 | 5,NA
Network Survey Wave 7.2 (Fall 2013),classtogether_75,1 | 2 | 3,NA
Network Survey Wave 7.2 (Fall 2013),alter10rel1_sq019_75,alter10.rel [1_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter10rel2_sq019_75,alter10.rel [2_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter10rel3_sq019_75,alter10.rel [3_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter10rel4_sq019_75,alter10.rel [4_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter10rel5_sq019_75,alter10.rel [5_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter11rel1_sq019_75,alter11.rel [1_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter11rel2_sq019_75,alter11.rel [2_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter11rel3_sq019_75,alter11.rel [3_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter11rel4_sq019_75,alter11.rel [4_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter12rel1_sq019_75,alter12.rel [1_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter12rel2_sq019_75,alter12.rel [2_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter12rel3_sq019_75,alter12.rel [3_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter13rel1_sq019_75,alter13.rel [1_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter13rel2_sq019_75,alter13.rel [2_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter14rel1_sq019_75,alter14.rel [1_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel1_sq001_75,alter1.rel [1_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel2_sq001_75,alter1.rel [2_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel3_sq001_75,alter1.rel [3_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel4_sq001_75,alter1.rel [4_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel5_sq001_75,alter1.rel [5_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel6_sq001_75,alter1.rel [6_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel7_sq001_75,alter1.rel [7_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel8_sq001_75,alter1.rel [8_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel9_sq001_75,alter1.rel [9_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel10_sq001_75,alter1.rel [10_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel11_sq001_75,alter1.rel [11_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel12_sq001_75,alter1.rel [12_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel13_sq001_75,alter1.rel [13_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter1rel14_sq001_75,alter1.rel [14_SQ001],NA
Network Survey Wave 7.2 (Fall 2013),alter2rel1_sq019_75,alter2.rel [1_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter2rel2_sq019_75,alter2.rel [2_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter2rel3_sq019_75,alter2.rel [3_SQ019],NA
Network Survey Wave 7.2 (Fall 2013),alter2rel4_sq019_75,alter2.rel [4_SQ019],NA
